WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,216.0,0.1042,105.6504,7.0088
49025097080000_490513,216.5,0.0988,101.8613,7.0828
49025097080000_490513,217.0,0.1053,100.0842,7.1561
49025097080000_490513,217.5,0.1167,98.9307,7.241
49025097080000_490513,218.0,0.1191,101.2906,7.3782
49025097080000_490513,218.5,0.1134,103.6918,7.4518
49025097080000_490513,219.0,0.1115,102.1028,7.3002
49025097080000_490513,219.5,0.1148,103.6222,7.0704
49025097080000_490513,220.0,0.1307,105.5142,6.6964
49025097080000_490513,220.5,0.1223,105.7489,6.4698
49025097080000_490513,221.0,0.1312,105.5362,6.2431
49025097080000_490513,221.5,0.1438,105.5686,6.0165
49025097080000_490513,222.0,0.1237,108.3846,6.0901
49025097080000_490513,222.5,0.1174,110.935,6.3887
49025097080000_490513,223.0,0.115,109.1341,6.6125
49025097080000_490513,223.5,0.1138,112.7817,6.8363
49025097080000_490513,224.0,0.121,110.0147,7.0641
49025097080000_490513,224.5,0.1236,105.6059,7.4337
49025097080000_490513,225.0,0.1063,103.8376,7.6575
49025097080000_490513,225.5,0.0967,103.1781,7.8813
49025097080000_490513,226.0,0.0925,102.9657,7.8799
49025097080000_490513,226.5,0.0958,102.977,7.6529
49025097080000_490513,227.0,0.1068,104.5531,7.4262
49025097080000_490513,227.5,0.1221,102.3288,7.2746
49025097080000_490513,228.0,0.1253,103.0107,7.1231
49025097080000_490513,228.5,0.1119,105.4809,7.0418
49025097080000_490513,229.0,0.1101,103.7037,6.8946
49025097080000_490513,229.5,0.1199,100.8088,6.8181
49025097080000_490513,230.0,0.1232,98.2645,6.7416
49025097080000_490513,230.5,0.1232,96.8052,6.6651
49025097080000_490513,231.0,0.1157,95.9235,6.6634
49025097080000_490513,231.5,0.1148,97.5715,6.5869
49025097080000_490513,232.0,0.1294,98.9181,6.5104
49025097080000_490513,232.5,0.1258,100.7712,6.509
49025097080000_490513,233.0,0.121,103.623,6.4325
49025097080000_490513,233.5,0.1339,104.9695,6.4307
49025097080000_490513,234.0,0.1123,105.8271,6.3542
49025097080000_490513,234.5,0.1114,105.8383,6.3528
49025097080000_490513,235.0,0.1138,105.8495,6.3513
49025097080000_490513,235.5,0.1209,105.8605,6.425
49025097080000_490513,236.0,0.138,103.1803,6.4232
49025097080000_490513,236.5,0.1409,103.877,6.4969
49025097080000_490513,237.0,0.1281,104.7794,6.4954
49025097080000_490513,237.5,0.1137,105.9054,6.5753
49025097080000_490513,238.0,0.1119,105.9166,6.7175
49025097080000_490513,238.5,0.1122,105.0335,6.7915
49025097080000_490513,239.0,0.116,104.3741,6.9399
49025097080000_490513,239.5,0.1277,103.9383,7.0135
49025097080000_490513,240.0,0.1435,100.3728,7.0872
49025097080000_490513,240.5,0.145,101.9488,7.2355
49025097080000_490513,241.0,0.1435,102.4071,7.2341
49025097080000_490513,241.5,0.1219,102.6419,7.3078
49025097080000_490513,242.0,0.1162,109.136,7.3063
49025097080000_490513,242.5,0.1144,110.7712,7.1544
49025097080000_490513,243.0,0.1213,108.4877,6.9278
49025097080000_490513,243.5,0.1222,104.028,6.7011
49025097080000_490513,244.0,0.1168,99.1212,6.5495
49025097080000_490513,244.5,0.1183,98.0142,6.3225
49025097080000_490513,245.0,0.1308,100.2614,6.246
49025097080000_490513,245.5,0.1392,103.1787,6.1695
49025097080000_490513,246.0,0.1359,102.0722,6.1681
49025097080000_490513,246.5,0.1167,104.0953,6.0916
49025097080000_490513,247.0,0.1122,106.1184,6.1653
49025097080000_490513,247.5,0.1167,107.4709,6.1635
49025097080000_490513,248.0,0.1346,105.4702,6.1621
49025097080000_490513,248.5,0.1355,104.5873,6.2357
